name,type,notranslate,comment,value,en
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter15,scrollheight,frame.caption",vaString,F,,"Scroll
height","Scroll
height"
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter15,scrollheight,hint",vaString,F,,"0 -> accelerated,
-1 -> paged","0 -> accelerated,
-1 -> paged"
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter15,rightmarginchars,frame.caption",vaString,F,,Characters,Characters
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter15,pairmaxrowcount,frame.caption",vaString,F,,"Mark max
rowcount","Mark max
rowcount"
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter10,spacetabs,frame.caption",vaString,F,,Space,Space
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter10,blockindent,frame.caption",vaString,F,,Block Indent,Block Indent
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter10,autoindent,frame.caption",vaString,F,,Auto indent,Auto indent
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter10,tabindent,frame.caption",vaString,F,,Tab,Tab
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter10,tabstops,frame.caption",vaString,F,,Tabstops,Tabstops
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter10,showtabs,frame.caption",vaString,F,,Show tabs,Show tabs
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter16,eolstyle,frame.caption",vaString,F,,Eolstyle,Eolstyle
